tconst,primaryTitle,startYear,genres,averageRating,numVotes,posterUrl
tt0105226,Red Rock West,1993,"Crime,Drama,Thriller",7.0,26717.0,https://image.tmdb.org/t/p/w500/ewofUEqU3Gpr7WSgSz3TEVPIfBg.jpg
tt0106266,Amos & Andrew,1993,"Comedy,Crime",5.7,10173.0,https://image.tmdb.org/t/p/w500/IdhtO8iqvmyEJtcjThthZPOiaV.jpg
tt0106684,Deadfall,1993,"Crime,Drama",4.0,3997.0,https://image.tmdb.org/t/p/w500/8S1lqwp1RR9z0V05QAVWTSbvtwC.jpg
tt0109390,A Century of Cinema,1994,Documentary,6.5,342.0,https://image.tmdb.org/t/p/w500/rddwMrjaRWOpzbVgQVuRqJUMpZr.jpg
tt0109951,Guarding Tess,1994,"Comedy,Drama",6.2,20121.0,https://image.tmdb.org/t/p/w500/4QXsuHFw1teyR48mnXz8jk9P3Gq.jpg
tt0110167,It Could Happen to You,1994,"Comedy,Drama,Romance",6.4,46556.0,https://image.tmdb.org/t/p/w500/6UOaeLDOdwwTMQtbl5YL6EGjqy0.jpg
tt0111477,Trapped in Paradise,1994,"Adventure,Comedy,Crime",5.9,17286.0,https://image.tmdb.org/t/p/w500/A8SyaIUq9d83ZNAwsvVo6TrOA2U.jpg
tt0113552,Kiss of Death,1995,"Crime,Drama,Thriller",5.9,20674.0,https://image.tmdb.org/t/p/w500/2cCxEqeIy6Q8HgVjfT7obOnF5Zi.jpg
tt0113627,Leaving Las Vegas,1995,"Drama,Romance",7.5,140105.0,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
tt0117500,The Rock,1996,"Action,Adventure,Thriller",7.4,368707.0,https://image.tmdb.org/t/p/w500/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg
tt0118880,Con Air,1997,"Action,Crime,Thriller",6.9,329231.0,https://image.tmdb.org/t/p/w500/kOKjgrEzGOP92rVQ6srA9jtp60l.jpg
tt0119094,Face/Off,1997,"Action,Crime,Sci-Fi",7.3,413341.0,https://image.tmdb.org/t/p/w500/69Xzn8UdPbVnmqSChKz2RTpoNfB.jpg
tt0120632,City of Angels,1998,"Drama,Fantasy,Romance",6.7,131135.0,https://image.tmdb.org/t/p/w500/iuzxpUjHsbQJXV3kB9ZAdCimM60.jpg
tt0120832,Snake Eyes,1998,"Crime,Mystery,Thriller",6.1,89430.0,https://image.tmdb.org/t/p/w500/kdcLZmZdEWeuqJ4ed68CL7Bcd2R.jpg
tt0134273,8MM,1999,"Crime,Drama,Mystery",6.6,146951.0,https://image.tmdb.org/t/p/w500/mhr9xRpjOBqlBjgDwtiOx6FsLvV.jpg
tt0156039,AFI Life Achievement Award: A Tribute to Clint Eastwood,1996,Documentary,6.8,317.0,
tt0163988,Bringing Out the Dead,1999,"Drama,Thriller",6.9,78759.0,https://image.tmdb.org/t/p/w500/gE2Q8mL0m0EA6HakRyc92uzSPJn.jpg
tt0187078,Gone in 60 Seconds,2000,"Action,Crime,Thriller",6.5,302234.0,https://image.tmdb.org/t/p/w500/lFsJJjnGcNhewSIM9XBTaHsI2et.jpg
tt0189998,Shadow of the Vampire,2000,"Drama,Horror",6.9,46508.0,https://image.tmdb.org/t/p/w500/nWm7DWi8X4D87XkM5qr9BhTJHq6.jpg
