tconst,primaryTitle,startYear,genres,averageRating,numVotes,actors,posterUrl
tt0109951,Guarding Tess,1994,"Comedy,Drama",6.2,20121.0,"Nicolas Cage, Austin Pendleton, Edward Albert, James Rebhorn, Richard Griffiths, John Roselius, David Graf, Don Yesso, James Lally",https://image.tmdb.org/t/p/w500/4QXsuHFw1teyR48mnXz8jk9P3Gq.jpg
tt0110167,It Could Happen to You,1994,"Comedy,Drama,Romance",6.4,46556.0,"Nicolas Cage, Wendell Pierce, Isaac Hayes, Victor Rojas, Seymour Cassel, Stanley Tucci, J.E. Freeman, Red Buttons",https://image.tmdb.org/t/p/w500/6UOaeLDOdwwTMQtbl5YL6EGjqy0.jpg
tt0111477,Trapped in Paradise,1994,"Adventure,Comedy,Crime",5.9,17286.0,"Nicolas Cage, Jon Lovitz, Dana Carvey, Richard B. Shull, Jack Heller, Mike Steiner, Greg Ellwand, Kirk Dunn",https://image.tmdb.org/t/p/w500/A8SyaIUq9d83ZNAwsvVo6TrOA2U.jpg
tt0113552,Kiss of Death,1995,"Crime,Drama,Thriller",5.9,20674.0,"David Caruso, Samuel L. Jackson, Nicolas Cage, Stanley Tucci, Michael Rapaport, Ving Rhames, Philip Baker Hall, Anthony Heald",https://image.tmdb.org/t/p/w500/2cCxEqeIy6Q8HgVjfT7obOnF5Zi.jpg
tt0113627,Leaving Las Vegas,1995,"Drama,Romance",7.5,140105.0,"Nicolas Cage, Julian Sands, Richard Lewis, Steven Weber, Stuart Regen, Graham Beckel",https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
tt0117500,The Rock,1996,"Action,Adventure,Thriller",7.4,368707.0,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer, David Morse, William Forsythe, Michael Biehn, John C. McGinley, Gregory Sporleder",https://image.tmdb.org/t/p/w500/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg
tt0118880,Con Air,1997,"Action,Crime,Thriller",6.9,329231.0,"Nicolas Cage, John Cusack, John Malkovich, Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago, Ving Rhames, Dave Chappelle",https://image.tmdb.org/t/p/w500/kOKjgrEzGOP92rVQ6srA9jtp60l.jpg
tt0119094,Face/Off,1997,"Action,Crime,Sci-Fi",7.3,413341.0,"John Travolta, Nicolas Cage, Alessandro Nivola, Nick Cassavetes, Harve Presnell, Colm Feore, John Carroll Lynch",https://image.tmdb.org/t/p/w500/69Xzn8UdPbVnmqSChKz2RTpoNfB.jpg
tt0120632,City of Angels,1998,"Drama,Fantasy,Romance",6.7,131135.0,"Nicolas Cage, Andre Braugher, Dennis Franz, Colm Feore, Nigel Gibbs",https://image.tmdb.org/t/p/w500/iuzxpUjHsbQJXV3kB9ZAdCimM60.jpg
tt0120832,Snake Eyes,1998,"Crime,Mystery,Thriller",6.1,89430.0,"Nicolas Cage, Gary Sinise, John Heard, Stan Shaw, Kevin Dunn, Michael Rispoli, Joel Fabiani, Luis Guzmán, David Anthony Higgins",https://image.tmdb.org/t/p/w500/kdcLZmZdEWeuqJ4ed68CL7Bcd2R.jpg
tt0134273,8MM,1999,"Crime,Drama,Mystery",6.6,146951.0,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare, Anthony Heald, Chris Bauer",https://image.tmdb.org/t/p/w500/mhr9xRpjOBqlBjgDwtiOx6FsLvV.jpg
tt0163988,Bringing Out the Dead,1999,"Drama,Thriller",6.9,78759.0,"Nicolas Cage, John Goodman, Ving Rhames, Tom Sizemore, Marc Anthony, Cliff Curtis, Nestor Serrano",https://image.tmdb.org/t/p/w500/gE2Q8mL0m0EA6HakRyc92uzSPJn.jpg
tt0187078,Gone in 60 Seconds,2000,"Action,Crime,Thriller",6.5,302234.0,"Nicolas Cage, Giovanni Ribisi, T.J. Cross, William Lee Scott, Scott Caan, James Duval, Will Patton, Delroy Lindo, Timothy Olyphant",https://image.tmdb.org/t/p/w500/lFsJJjnGcNhewSIM9XBTaHsI2et.jpg
tt0218967,The Family Man,2000,"Comedy,Drama,Fantasy",6.8,125835.0,"Nicolas Cage, Don Cheadle, Jeremy Piven, Saul Rubinek, Josef Sommer, Jake Milkovich, Ryan Milkovich",https://image.tmdb.org/t/p/w500/9wToOVsKuf0XeKhlauzCa3D8Gui.jpg
tt0238112,Captain Corelli's Mandolin,2001,"Drama,Music,Romance",5.9,36700.0,"Nicolas Cage, John Hurt, Christian Bale, Gerasimos Skiadaressis, Mihalis Giannatos, Dimitris Kaberidis, Pietro Sarubbi",https://image.tmdb.org/t/p/w500/9YahF8HFypIKFTvOTiYzObA0hom.jpg
tt0245562,Windtalkers,2002,"Action,Drama,War",6.1,75291.0,"Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich, Mark Ruffalo, Brian Van Holt, Martin Henderson, Roger Willie, Christian Slater",https://image.tmdb.org/t/p/w500/547q4HXlvEcS06lujfb2yzsTP3H.jpg
tt0259324,Ghost Rider,2007,"Action,Fantasy,Thriller",5.3,260124.0,"Nicolas Cage, Nicolas Cage, Sam Elliott, Matt Long, Brett Cullen, Peter Fonda, Donal Logue, Tony Ghosthawk, Hugh Sexton",https://image.tmdb.org/t/p/w500/d9Oan9XJJ6gRJa64Ifsgp1sXbC4.jpg
tt0259929,Christmas Carol: The Movie,2001,"Animation,Family,Fantasy",5.3,2281.0,"Simon Callow, Simon Callow, Nicolas Cage, Michael Gambon, Rhys Ifans, Robert Llewellyn, Iain Jones, Colin McFarlane",https://image.tmdb.org/t/p/w500/38NCcPC1zJ6hzQYvzPor5uguvDs.jpg
tt0268126,Adaptation.,2002,"Comedy,Drama",7.7,208314.0,"Nicolas Cage, Nicolas Cage, Chris Cooper, Jay Tavare, Litefoot, Roger Willie, Jim Beaver, Doug Jones",https://image.tmdb.org/t/p/w500/ffEmHQAiD0m5dEQ6rlsuA9vlllW.jpg
tt0325805,Matchstick Men,2003,"Comedy,Crime,Drama",7.3,141823.0,"Nicolas Cage, Sam Rockwell, Bruce Altman, Bruce McGill, Steve Eastin, Fran Kranz",https://image.tmdb.org/t/p/w500/y5hBAMrOWUusHjnWUGLpFWPtPAP.jpg
tt0368891,National Treasure,2004,"Action,Adventure,Mystery",6.9,366025.0,"Nicolas Cage, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer, David Dayan Fisher, Stewart Finlay-McLennan, Oleg Taktarov",https://image.tmdb.org/t/p/w500/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg
tt0375568,Astro Boy,2009,"Action,Adventure,Animation",6.2,41288.0,"Freddie Highmore, Freddie Highmore, Nicolas Cage, Ryan Stiles, Ryan Stiles, Eugene Levy, Donald Sutherland, Bill Nighy, Bill Nighy, David Alan Grier, David Alan Grier, David Alan Grier, Alan Tudyk, Alan Tudyk, Alan Tudyk",https://image.tmdb.org/t/p/w500/jcM6F9Mivs4WZYE3N8MkLYx2ywP.jpg
tt0384680,The Weather Man,2005,"Comedy,Drama",6.6,84721.0,"Nicolas Cage, Nicholas Hoult, Michael Caine, Michael Rispoli, Gil Bellows, Chris Marrs",https://image.tmdb.org/t/p/w500/oQilVzOxLPxvBn9hAuvGpKTpONM.jpg
tt0399295,Lord of War,2005,"Crime,Drama",7.6,347791.0,"Nicolas Cage, Ethan Hawke, Jared Leto, Jean-Pierre Nshanian, Jared Burke, Eric Uys, David Shumbris, Stewart Morgan",https://image.tmdb.org/t/p/w500/3MGQD4yXokufNlW1AyRXdiy7ytP.jpg
tt0429589,The Ant Bully,2006,"Adventure,Animation,Comedy",5.8,42995.0,"Paul Giamatti, Nicolas Cage, Zach Tyler Eisen, Bruce Campbell, Larry Miller",https://image.tmdb.org/t/p/w500/oFuqX0inTvbA1XAFv2x3CQnI65m.jpg
tt0435705,Next,2007,"Action,Sci-Fi,Thriller",6.2,170226.0,"Nicolas Cage, Thomas Kretschmann, Tory Kittles, José Zúñiga, Jim Beaver, Jason Butler Harner, Michael Trucco, Enzo Cilenti",https://image.tmdb.org/t/p/w500/td5uOBW41ib1KGz3g1Kc33BdFyj.jpg
tt0448011,Knowing,2009,"Mystery,Sci-Fi,Thriller",6.2,255124.0,"Nicolas Cage, Chandler Canterbury, D.G. Maloney, Alan Hopgood, Joshua Long",https://image.tmdb.org/t/p/w500/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg
tt0450345,The Wicker Man,2006,"Horror,Mystery,Thriller",3.8,73189.0,"Nicolas Cage, Michael Wiseman",https://image.tmdb.org/t/p/w500/xsHrmfgDcEk5fGhSiieKvrDuofq.jpg
tt0465234,National Treasure: Book of Secrets,2007,"Action,Adventure,Mystery",6.5,260721.0,"Nicolas Cage, Justin Bartha, Jon Voight, Ed Harris, Harvey Keitel, Bruce Greenwood, Ty Burrell, Michael Maize",https://image.tmdb.org/t/p/w500/xxoIBbvmTj1ZttzV439jAvoovTw.jpg
